title,s_img,scrible,author,publisher,pub_date,price,score,num
社会心理学(无),https://img3.doubanio.com/view/subject/s/public/s1670932.jpg,人们是如何思索、影响他人并与他人建立联系的,[美] 戴维·迈尔斯,人民邮电出版社,2006-01-01,68.0,9.0,27547
东晋门阀政治(无),https://img9.doubanio.com/view/subject/s/public/s10206185.jpg,无,田余庆,北京大学出版社,2012-05-01,49.0,9.5,14286
生死疲劳(无),https://img1.doubanio.com/view/subject/s/public/s34086258.jpg,无,莫言,浙江文艺出版社,2022-01-01,69.9,9.0,46112
天朝的崩溃(无),https://img9.doubanio.com/view/subject/s/public/s27685036.jpg,无,茅海建,生活·读书·新知三联书店,2014-10-01,59.0,9.4,14901
古文观止(无),https://img3.doubanio.com/view/subject/s/public/s1325863.jpg,收录自先秦至明末的散文二百二十二篇,吴楚材,中华书局,1987-01-01,21.0,9.1,19450
明亮的夜晚(밝은 밤),https://img3.doubanio.com/view/subject/s/public/s34577743.jpg,无,[韩]崔恩荣,台海出版社,2023-08-01,52.0,9.0,31172
你当像鸟飞往你的山(Educated: A Memoir),https://img9.doubanio.com/view/subject/s/public/s33492346.jpg,我来自一个极少有人能想象的家庭，教育给了我新世界,塔拉·韦斯特弗,南海出版公司,2019-10-01,59.0,8.7,197383
檀香刑(无),https://img1.doubanio.com/view/subject/s/public/s33562530.jpg,无,莫言,浙江文艺出版社,2017-01-01,56.0,9.3,33939
2001：太空漫游(2001: A Space Odyssey),https://img2.doubanio.com/view/subject/s/public/s32330891.jpg,无,[英] 阿瑟·克拉克,上海文艺出版社,2019-04-10,62.0,9.3,23309
一句顶一万句(无),https://img1.doubanio.com/view/subject/s/public/s6916838.jpg,一句胜过千年,刘震云,长江文艺出版社,2009-03-01,29.8,8.8,88067
长日将尽(The Remains of the Day),https://img1.doubanio.com/view/subject/s/public/s29738720.jpg,无,[英] 石黑一雄,上海译文出版社,2018-05-01,48.0,8.9,39045
绿毛水怪(无),https://img9.doubanio.com/view/subject/s/public/s3675595.jpg,我们好象在池塘的水底，从一个月亮走向另一个月亮,王小波,时代文艺出版社,2009-01-01,30.0,9.1,25751
地下室手记(Записки из подполья),https://img3.doubanio.com/view/subject/s/public/s33638812.jpg,无,(俄罗斯) 陀思妥耶夫斯基,浙江文艺出版社,2020-05-01,39.8,9.3,27157
